"Relative Time","Run"
"00:00","1"
"00:08","2"
"00:16","3"
"00:32","4"
"00:40","5"
"00:48","6"
"00:56","7"
"01:12","8"
"01:20","9"
"01:28","10"
"04:56","9"
"05:04","8"
"05:44","7"
"05:52","6"
"06:00","5"
"06:08","4"
"06:16","3"
"07:12","2"
"07:20","0"
"07:28","0"
