"Relative Time","Run"
"00:00","9"
"00:08","10"
"02:56","9"
"03:12","8"
"03:20","7"
"03:36","5"
"03:52","4"
"04:00","3"
"04:08","2"
"04:24","1"
"04:32","0"
"04:40","0"
