"Relative Time","Run"
"00:00","1"
"00:16","3"
"00:32","5"
"00:48","7"
"01:04","8"
"01:20","10"
"05:04","8"
"05:36","6"
"05:52","4"
"06:08","3"
"07:28","2"
"07:44","1"
"08:00","0"
"08:16","0"
